,OBJECTID,STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,IS_TERMINUS,WEEKDAY_SAT_INC_START_TIME,SUN_INC_START_TIME,INC_END_TIME,WEEKDAY_SAT_DEC_START_TIME,SUN_DEC_START_TIME,DEC_END_TIME,LINE,NUMBER,CONNECTION_ID,NEXT_STATION_NUMBER,PREV_STATION_NUMBER,MAX_CAPACITY,MIN_CAPACITY
126,176,POTONG PASIR MRT STATION,NE10,8,4,1.331379525,103.869046,PURPLE,FALSE,0,0,0,0,0,0,NE,10,176,11,09,1801.142857142857,6.107142857142857
127,184,PROMENADE MRT STATION,CC04,6,-8,1.293218051,103.8609921,YELLOW,FALSE,0,0,0,0,0,0,CC,04,102,05,03,1712.6785714285713,1.25
128,102,PROMENADE MRT STATION,DT15,6,-9,1.292891552,103.860846,BLUE,FALSE,0,0,0,0,0,0,DT,15,102,16,14,1712.6785714285713,1.25
129,106,PUNGGOL MRT STATION,NE17,17,29,1.404546728,103.902052,PURPLE,TRUE,0,0,0,684,724,2816,NE,17,106,-1,16,3780.035714285714,40.07142857142857
130,71,PUNGGOL POINT LRT STATION,PW03,19,33,1.41684852,103.9066284,OTHERS,FALSE,0,0,0,0,0,0,PW,03,71,04,02,173.60714285714286,1.0
131,21,QUEENSTOWN MRT STATION,EW19,-9,-8,1.294860933,103.8058913,GREEN,FALSE,0,0,0,0,0,0,EW,19,21,20,18,1659.2857142857142,7.214285714285714
132,186,RAFFLES PLACE MRT STATION,EW14,4,-12,1.284125611,103.8514572,GREEN,FALSE,0,0,0,0,0,0,EW,14,186,15,13,5193.25,5.75
133,186,RAFFLES PLACE MRT STATION,NS26,4,-12,1.284125611,103.8514572,RED,FALSE,0,0,0,0,0,0,NS,26,186,27,25,5193.25,5.75
134,89,RANGGUNG LRT STATION,SE05,16,22,1.384233561,103.897176,OTHERS,FALSE,0,0,0,0,0,0,SE,05,89,0,04,564.5357142857143,3.0714285714285716
135,5,REDHILL MRT STATION,EW18,-6,-10,1.289562726,103.8168209,GREEN,FALSE,0,0,0,0,0,0,EW,18,5,19,17,1897.857142857143,5.714285714285714
136,46,RENJONG LRT STATION,SW08,14,23,1.386723922,103.8905227,OTHERS,FALSE,0,0,0,0,0,0,SW,08,46,0,07,315.25,2.357142857142857
137,60,RIVIERA LRT STATION,PE04,21,25,1.394524496,103.9161415,OTHERS,FALSE,0,0,0,0,0,0,PE,04,60,05,03,186.85714285714286,2.142857142857143
138,167,ROCHOR MRT STATION,DT13,4,-5,1.306800025,103.8496427,BLUE,FALSE,0,0,0,0,0,0,DT,13,167,14,12,819.0357142857143,1.6071428571428572
