,YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,TOTAL_TRIPS,TOTAL_TRIPS_AGG,PROB_TRIP,CUMSUM
115381,2023-02,WEEKDAY,10,TRAIN,CC12,EW3,6,2474,0.002,0.454
115382,2023-02,WEEKDAY,10,TRAIN,CC12,EW4,4,2474,0.002,0.456
115383,2023-02,WEEKDAY,10,TRAIN,CC12,EW5,29,2474,0.012,0.46799999999999997
115384,2023-02,WEEKDAY,10,TRAIN,CC12,EW6,3,2474,0.001,0.469
115385,2023-02,WEEKDAY,10,TRAIN,CC12,EW7,3,2474,0.001,0.47
115386,2023-02,WEEKDAY,10,TRAIN,CC12,EW8/CC9,132,2474,0.053,0.523
115387,2023-02,WEEKDAY,10,TRAIN,CC12,EW9,12,2474,0.005,0.528
115388,2023-02,WEEKDAY,10,TRAIN,CC12,NE1/CC29,35,2474,0.014,0.542
115389,2023-02,WEEKDAY,10,TRAIN,CC12,NE10,5,2474,0.002,0.544
115390,2023-02,WEEKDAY,10,TRAIN,CC12,NE12/CC13,358,2474,0.145,0.6890000000000001
115391,2023-02,WEEKDAY,10,TRAIN,CC12,NE13,25,2474,0.01,0.699
115392,2023-02,WEEKDAY,10,TRAIN,CC12,NE14,14,2474,0.006,0.705
115393,2023-02,WEEKDAY,10,TRAIN,CC12,NE15,5,2474,0.002,0.707
115394,2023-02,WEEKDAY,10,TRAIN,CC12,NE16/STC,25,2474,0.01,0.717
115395,2023-02,WEEKDAY,10,TRAIN,CC12,NE17/PTC,14,2474,0.006,0.723
115396,2023-02,WEEKDAY,10,TRAIN,CC12,NE4/DT19,47,2474,0.019,0.742
115397,2023-02,WEEKDAY,10,TRAIN,CC12,NE5,9,2474,0.004,0.746
115398,2023-02,WEEKDAY,10,TRAIN,CC12,NE7/DT12,17,2474,0.007,0.753
115399,2023-02,WEEKDAY,10,TRAIN,CC12,NE8,12,2474,0.005,0.758
115400,2023-02,WEEKDAY,10,TRAIN,CC12,NE9,16,2474,0.006,0.764
115401,2023-02,WEEKDAY,10,TRAIN,CC12,NS10,1,2474,0.0,0.764
115402,2023-02,WEEKDAY,10,TRAIN,CC12,NS11,8,2474,0.003,0.767
115403,2023-02,WEEKDAY,10,TRAIN,CC12,NS12,2,2474,0.001,0.768
115404,2023-02,WEEKDAY,10,TRAIN,CC12,NS13,17,2474,0.007,0.775
115405,2023-02,WEEKDAY,10,TRAIN,CC12,NS14,7,2474,0.003,0.778
115406,2023-02,WEEKDAY,10,TRAIN,CC12,NS15,33,2474,0.013,0.791
115407,2023-02,WEEKDAY,10,TRAIN,CC12,NS16,27,2474,0.011,0.802
115408,2023-02,WEEKDAY,10,TRAIN,CC12,NS17/CC15,120,2474,0.049,0.851
115409,2023-02,WEEKDAY,10,TRAIN,CC12,NS18,3,2474,0.001,0.852
115410,2023-02,WEEKDAY,10,TRAIN,CC12,NS19,11,2474,0.004,0.856
115411,2023-02,WEEKDAY,10,TRAIN,CC12,NS2,3,2474,0.001,0.857
115412,2023-02,WEEKDAY,10,TRAIN,CC12,NS20,38,2474,0.015,0.872
115413,2023-02,WEEKDAY,10,TRAIN,CC12,NS21/DT11,10,2474,0.004,0.876
115414,2023-02,WEEKDAY,10,TRAIN,CC12,NS23,34,2474,0.014,0.89
115415,2023-02,WEEKDAY,10,TRAIN,CC12,NS24/NE6/CC1,24,2474,0.01,0.9
115416,2023-02,WEEKDAY,10,TRAIN,CC12,NS25/EW13,20,2474,0.008,0.908
115417,2023-02,WEEKDAY,10,TRAIN,CC12,NS27/CE2/TE20,10,2474,0.004,0.912
115418,2023-02,WEEKDAY,10,TRAIN,CC12,NS28,1,2474,0.0,0.912
115419,2023-02,WEEKDAY,10,TRAIN,CC12,NS3,2,2474,0.001,0.913
115420,2023-02,WEEKDAY,10,TRAIN,CC12,NS4/BP1,3,2474,0.001,0.914
115421,2023-02,WEEKDAY,10,TRAIN,CC12,NS5,4,2474,0.002,0.916
115422,2023-02,WEEKDAY,10,TRAIN,CC12,NS7,7,2474,0.003,0.919
115423,2023-02,WEEKDAY,10,TRAIN,CC12,NS8,6,2474,0.002,0.921
115424,2023-02,WEEKDAY,10,TRAIN,CC12,NS9/TE2,19,2474,0.008,0.929
115425,2023-02,WEEKDAY,10,TRAIN,CC12,PE2,2,2474,0.001,0.93
115426,2023-02,WEEKDAY,10,TRAIN,CC12,PW3,1,2474,0.0,0.93
115427,2023-02,WEEKDAY,10,TRAIN,CC12,PW4,1,2474,0.0,0.93
115428,2023-02,WEEKDAY,10,TRAIN,CC12,PW5,1,2474,0.0,0.93
115429,2023-02,WEEKDAY,10,TRAIN,CC12,SE5,2,2474,0.001,0.931
115430,2023-02,WEEKDAY,10,TRAIN,CC12,SW2,1,2474,0.0,0.931
115431,2023-02,WEEKDAY,10,TRAIN,CC12,SW5,2,2474,0.001,0.932
115432,2023-02,WEEKDAY,10,TRAIN,CC12,TE1,12,2474,0.005,0.937
115433,2023-02,WEEKDAY,10,TRAIN,CC12,TE12,8,2474,0.003,0.94
115434,2023-02,WEEKDAY,10,TRAIN,CC12,TE13,3,2474,0.001,0.941
115435,2023-02,WEEKDAY,10,TRAIN,CC12,TE14/NS22,82,2474,0.033,0.974
115436,2023-02,WEEKDAY,10,TRAIN,CC12,TE15,8,2474,0.003,0.977
115437,2023-02,WEEKDAY,10,TRAIN,CC12,TE16,5,2474,0.002,0.979
115438,2023-02,WEEKDAY,10,TRAIN,CC12,TE19,10,2474,0.004,0.983
115439,2023-02,WEEKDAY,10,TRAIN,CC12,TE22,3,2474,0.001,0.984
115440,2023-02,WEEKDAY,10,TRAIN,CC12,TE3,1,2474,0.0,0.984
115441,2023-02,WEEKDAY,10,TRAIN,CC12,TE4,1,2474,0.0,0.984
115442,2023-02,WEEKDAY,10,TRAIN,CC12,TE6,3,2474,0.001,0.985
115443,2023-02,WEEKDAY,10,TRAIN,CC12,TE7,1,2474,0.0,0.985
115444,2023-02,WEEKDAY,10,TRAIN,CC12,TE8,13,2474,0.005,0.99
