,DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,CUMSUM
115434,WEEKDAY,10,CC12,TE13,0.941
115435,WEEKDAY,10,CC12,TE14/NS22,0.974
115436,WEEKDAY,10,CC12,TE15,0.977
115437,WEEKDAY,10,CC12,TE16,0.979
115438,WEEKDAY,10,CC12,TE19,0.983
115439,WEEKDAY,10,CC12,TE22,0.984
115440,WEEKDAY,10,CC12,TE3,0.984
115441,WEEKDAY,10,CC12,TE4,0.984
115442,WEEKDAY,10,CC12,TE6,0.985
115443,WEEKDAY,10,CC12,TE7,0.985
115444,WEEKDAY,10,CC12,TE8,0.99
